TreeID,Position_X,Position_Y,Crown,Height
57.0,526014.189,4694146.555,3.763499999884516,22.616
58.0,526024.822,4694143.362,2.147499999962747,21.299
59.0,526032.845,4694117.429,2.0012499999720603,15.806
60.0,526018.933,4694133.221,2.8247499999124557,18.446
61.0,526031.87,4694117.856,2.2804999998770654,14.184
62.0,526033.065,4694103.5,2.6674999999813735,16.61
63.0,526033.119,4694144.915,2.444499999983236,8.876
64.0,526003.805,4694115.808,2.2350000001024455,16.604
65.0,526018.127,4694139.931,2.6527499998919666,18.234
66.0,526042.293,4694134.625,2.325999999884516,18.776
67.0,526006.96,4694134.408,2.2242499999701977,18.305
68.0,526042.359,4694133.212,2.638000000268221,14.727
69.0,526001.141,4694105.616,2.4122499998193234,18.601
70.0,526000.54,4694149.502,1.8065000001806766,19.378
71.0,526020.552,4694106.888,1.983500000089407,16.225
72.0,526022.613,4694111.518,1.796749999979511,16.362
73.0,526040.071,4694141.167,1.8359999998938292,19.683
74.0,526004.064,4694116.266,1.819249999942258,16.062
75.0,526001.033,4694138.104,2.1867499998770654,19.259
76.0,526015.815,4694134.705,1.9880000001285225,18.109
77.0,526036.346,4694129.079,2.6365000000223517,20.075
78.0,526029.895,4694131.277,3.1222499997820705,21.265
79.0,526043.767,4694125.809,2.655500000109896,18.232
80.0,526030.727,4694106.413,1.7390000000596046,16.487
81.0,526003.115,4694110.901,2.0294999999459833,16.521
82.0,526037.599,4694104.806,2.0049999998882413,16.116
83.0,526000.065,4694134.237,1.911749999737367,17.537
84.0,526021.926,4694117.24,2.522249999921769,10.725
85.0,526010.272,4694114.565,3.0844999998807907,16.785
86.0,526021.934,4694135.465,1.8725000000558794,19.116
87.0,526025.313,4694142.435,2.314500000094995,20.329
88.0,526007.398,4694133.84,2.3899999998975545,17.208
89.0,526049.101,4694121.175,1.8360000001266599,18.727
90.0,526049.972,4694134.442,1.5719999999273568,19.644
91.0,526036.598,4694145.365,2.066499999957159,22.193
92.0,526045.733,4694140.875,1.9837499998975545,21.875
93.0,526048.712,4694103.524,1.9420000002719462,16.767
94.0,526032.658,4694147.701,2.018750000046566,20.785
95.0,526024.491,4694132.071,2.345750000094995,19.194
96.0,526024.022,4694116.58,1.8152499999850988,12.55
97.0,526032.322,4694131.048,1.9705000000540167,15.356000000000002
98.0,526003.547,4694142.012,1.8442499998491257,19.016
99.0,526030.886,4694121.465,1.8489999999292195,14.867
100.0,526009.472,4694103.986,1.903999999864027,18.469
101.0,526043.228,4694134.909,2.2175000002607703,18.054
102.0,526010.316,4694140.637,1.8015000000596046,19.413
103.0,526014.564,4694134.712,1.6094999997876585,19.737
104.0,526046.458,4694117.033,1.4849999998696148,16.306
105.0,526049.805,4694149.986,2.218499999959022,20.373
106.0,526028.071,4694100.089,2.1252499998081475,19.093
107.0,526013.898,4694100.008,2.3182500002440065,17.597
108.0,526009.1,4694149.99,1.3734999999869615,21.111
109.0,526011.52,4694130.135,1.481499999994412,15.378
110.0,526044.819,4694145.657,1.4259999999776483,21.221
111.0,526039.138,4694149.855,1.821500000078231,18.224
112.0,526048.007,4694116.008,3.1019999999552965,13.2
113.0,526009.14,4694110.165,1.3082500000018626,16.604
114.0,526010.929,4694116.134,1.4592500003054738,14.341
115.0,526030.412,4694126.309,1.11324999993667,14.925
116.0,526025.845,4694123.552,1.1642499999143183,6.443
117.0,526022.395,4694113.129,1.4042500001378357,13.054000000000002
118.0,526003.994,4694100.318,1.7227500001899898,18.42
119.0,526026.214,4694147.188,2.213749999878928,22.817
120.0,526015.014,4694106.697,1.0474999998696148,14.719000000000001
121.0,526013.511,4694146.015,2.663249999983236,23.488
