x,y,z,label
526010.867,4694130.466,15.297,0.0
526014.25,4694132.871,15.332,0.0
526011.844,4694130.686,15.341999999999999,0.0
526014.541,4694132.918,15.358,0.0
526014.172,4694132.785,15.369,0.0
526010.974,4694131.362,15.410999999999998,0.0
526010.731,4694131.156,15.434000000000001,0.0
526013.628,4694133.581,15.442,0.0
526011.219,4694130.142,15.475,0.0
526010.505,4694130.691,15.535,0.0
526011.395,4694130.198,15.539000000000001,0.0
526015.488,4694133.451,15.596,0.0
526014.774,4694133.225,15.628999999999998,0.0
526011.207,4694131.29,15.711,0.0
526011.517,4694130.625,15.749000000000002,0.0
526011.592,4694131.053,15.750999999999998,0.0
526011.416,4694130.335,15.762,0.0
526013.175,4694134.403,15.766000000000002,0.0
526013.73,4694133.322,15.788,0.0
526011.156,4694130.424,15.807,0.0
526010.739,4694130.803,15.841,0.0
526011.764,4694131.004,15.846999999999998,0.0
526014.522,4694133.1,15.863,0.0
526014.174,4694133.101,15.866,0.0
526014.287,4694133.084,15.918,0.0
526011.649,4694130.976,15.946,0.0
526011.344,4694131.311,15.948,0.0
526010.972,4694130.63,15.951999999999998,0.0
526013.903,4694133.137,15.986999999999998,0.0
526011.207,4694131.067,15.989,0.0
526011.177,4694130.669,16.048,0.0
526010.962,4694130.873,16.056,0.0
526011.394,4694131.023,16.09,0.0
526011.268,4694130.657,16.136,0.0
526011.324,4694130.982,16.147,0.0
526011.075,4694130.989,16.164,0.0
526015.208,4694133.333,16.184,0.0
526013.811,4694133.429,16.204,0.0
526015.397,4694133.658,16.261,0.0
526010.977,4694131.045,16.265,0.0
526014.46,4694133.488,16.306,0.0
526014.935,4694133.447,16.323,0.0
526014.223,4694133.472,16.335,0.0
526013.686,4694134.017,16.372,0.0
526013.616,4694133.835,16.453,0.0
526015.589,4694133.773,16.598,0.0
526013.975,4694133.807,16.644,0.0
526013.861,4694133.713,16.657,0.0
526015.516,4694133.612,16.68,0.0
526015.113,4694133.667,17.101,0.0
526014.538,4694133.478,17.254,0.0
526014.779,4694133.679,17.316,0.0
526014.139,4694133.534,17.347,0.0
526014.519,4694133.558,17.551,0.0
526014.244,4694133.882,17.607,0.0
526014.27,4694133.995,17.645,0.0
526015.054,4694133.909,17.721,0.0
526014.4,4694133.649,17.741,0.0
526015.29,4694133.916,17.758,0.0
526013.992,4694134.186,18.013,0.0
526014.002,4694134.065,18.103,0.0
526009.395,4694122.874,2.824,1.0
526009.267,4694123.077,2.865,1.0
526009.216,4694122.676,2.906,1.0
526009.024,4694122.96,3.109,1.0
526009.113,4694123.349,3.143,1.0
526009.03,4694123.199,3.389,1.0
526008.783,4694122.948,3.4,1.0
526008.824,4694123.258,3.415,1.0
526008.767,4694122.634,3.4750000000000005,1.0
526008.829,4694123.142,3.518,1.0
526008.516,4694123.212,3.666,1.0
526006.967,4694123.754,6.7379999999999995,1.0
526007.11,4694123.361,6.754,1.0
526007.138,4694123.807,6.763,1.0
526007.138,4694123.201,6.811999999999999,1.0
526007.032,4694123.651,6.924999999999999,1.0
526006.808,4694123.527,6.952,1.0
526006.669,4694123.764,6.959999999999999,1.0
526006.53,4694123.595,6.983,1.0
526007.985,4694123.875,7.037000000000001,1.0
526007.908,4694124.064,7.101,1.0
526008.159,4694124.277,7.437,1.0
526008.169,4694124.154,7.48,1.0
526008.274,4694124.14,7.502,1.0
526007.282,4694123.185,7.572,1.0
526007.395,4694123.33,7.585,1.0
526007.74,4694123.254,8.261,1.0
526007.705,4694123.036,8.366,1.0
526007.896,4694123.373,8.393,1.0
526008.002,4694123.228,8.436,1.0
526007.808,4694123.599,8.438,1.0
526008.108,4694123.756,8.449,1.0
526008.514,4694123.439,8.48,1.0
526007.932,4694123.084,8.481,1.0
526008.209,4694123.314,8.528,1.0
526008.318,4694123.227,8.55,1.0
526008.134,4694123.572,8.685,1.0
526008.439,4694123.455,8.747,1.0
526008.479,4694123.715,8.799,1.0
526008.62,4694123.606,8.864,1.0
526008.396,4694123.908,8.895,1.0
526008.503,4694123.822,8.967,1.0
526033.023,4694132.737,8.998,1.0
526032.789,4694132.647,9.039,1.0
526032.694,4694133.551,10.025,1.0
526033.042,4694133.216,10.044,1.0
526032.384,4694133.103,10.056,1.0
526032.653,4694133.273,10.176,1.0
526032.993,4694133.322,10.176,1.0
526032.514,4694133.103,10.346,1.0
526032.838,4694133.125,10.351,1.0
526032.725,4694132.892,10.392,1.0
526032.834,4694132.891,10.438,1.0
526007.92,4694122.899,10.48,1.0
526008.171,4694122.951,10.921,1.0
526008.338,4694122.994,10.957,1.0
526032.225,4694134.486,12.393,1.0
526033.011,4694134.147,12.502,1.0
526032.244,4694134.211,12.806,1.0
526032.878,4694133.94,13.138,1.0
526032.496,4694133.96,13.18,1.0
526032.729,4694133.96,13.323,1.0
526032.753,4694134.025,13.385000000000002,1.0
526032.675,4694134.22,13.503,1.0
526032.239,4694134.796,13.539,1.0
526032.21,4694134.508,13.611,1.0
526032.36,4694134.76,13.668,1.0
526032.485,4694134.496,14.075,1.0
526032.479,4694134.245,14.159,1.0
526033.001,4694134.806,14.240000000000002,1.0
526032.687,4694135.039,14.283000000000001,1.0
526033.031,4694134.444,14.332,1.0
526033.01,4694134.563,14.363,1.0
526032.466,4694134.538,14.491,1.0
526032.835,4694134.759,14.563000000000002,1.0
526032.745,4694134.463,14.571000000000002,1.0
526032.754,4694134.445,14.616,1.0
526032.835,4694134.636,14.658000000000001,1.0
526032.647,4694134.746,14.825,1.0
526032.713,4694134.955,15.436999999999998,1.0
526032.883,4694135.116,15.661000000000001,1.0
526033.414,4694134.93,15.845000000000002,1.0
526032.686,4694135.453,16.182,1.0
526033.095,4694135.218,17.045,1.0
526032.889,4694135.477,17.272,1.0
526035.051,4694102.825,7.166,2.0
526034.865,4694102.599,7.2330000000000005,2.0
526035.01,4694102.653,7.269,2.0
526034.981,4694102.478,7.2829999999999995,2.0
526035.257,4694102.333,7.338000000000001,2.0
526035.199,4694102.361,7.3420000000000005,2.0
526035.274,4694102.063,7.455,2.0
526035.056,4694102.073,7.503,2.0
526035.399,4694101.994,7.582000000000001,2.0
526038.697,4694101.17,7.781,2.0
526034.628,4694102.154,8.869,2.0
526034.533,4694101.909,8.992,2.0
526034.758,4694102.012,9.052,2.0
526040.265,4694102.482,9.089,2.0
526040.342,4694101.538,9.15,2.0
526039.488,4694101.577,9.159,2.0
526039.368,4694101.415,9.168,2.0
